datetime,open,high,low,close,volume
2003.05.05 00:00:00,1.12161,1.12209,1.12161,1.12209,258.1
2003.05.05 00:01:00,1.12206,1.1225,1.12206,1.1225,814.6
2003.05.05 00:02:00,1.12238,1.12247,1.12225,1.12231,495.9
2003.05.05 00:03:00,1.12223,1.1223,1.12216,1.12229,768.3
2003.05.05 00:04:00,1.1222,1.12235,1.1222,1.12227,789.4
2003.05.05 00:05:00,1.12215,1.1223,1.12214,1.1223,737.2
2003.05.05 00:06:00,1.12219,1.12231,1.12219,1.12224,368.2
2003.05.05 00:07:00,1.1223,1.12232,1.12217,1.12225,412.8
2003.05.05 00:08:00,1.12229,1.12238,1.12226,1.12238,376.7
2003.05.05 00:09:00,1.12229,1.12236,1.12216,1.1222,476.7
2003.05.05 00:10:00,1.12218,1.12236,1.12208,1.12236,684.5
2003.05.05 00:11:00,1.12232,1.12239,1.12221,1.12227,254.5
2003.05.05 00:12:00,1.12214,1.12224,1.12196,1.12196,411.1
2003.05.05 00:13:00,1.12169,1.12182,1.12154,1.12182,354.5
2003.05.05 00:14:00,1.12195,1.1222,1.12194,1.1222,364.7
2003.05.05 00:15:00,1.12212,1.12228,1.12212,1.12228,425.1
2003.05.05 00:16:00,1.12221,1.12227,1.12217,1.12227,493.9
2003.05.05 00:17:00,1.12225,1.12232,1.12214,1.12229,665.3
2003.05.05 00:18:00,1.12232,1.12236,1.12222,1.12229,383.5
2003.05.05 00:19:00,1.12235,1.12241,1.12222,1.12222,458.5
2003.05.05 00:20:00,1.1223,1.12235,1.12215,1.12226,659.8
2003.05.05 00:21:00,1.12234,1.1225,1.12229,1.12243,609
2003.05.05 00:22:00,1.12246,1.12253,1.12231,1.12253,748.1
2003.05.05 00:23:00,1.1225,1.12258,1.12246,1.1225,384.2
2003.05.05 00:24:00,1.12248,1.12252,1.12237,1.12245,460.2
2003.05.05 00:25:00,1.12236,1.12243,1.12228,1.12237,512.6
2003.05.05 00:26:00,1.12231,1.12239,1.12217,1.12229,652.8
2003.05.05 00:27:00,1.12225,1.12242,1.12216,1.12234,616.3
2003.05.05 00:28:00,1.12232,1.12241,1.1223,1.12233,518.7
2003.05.05 00:29:00,1.12225,1.12232,1.12211,1.12218,539.9
